slippage_pct,commission_pct,max_open_positions,trades,win_rate_pct,sum_realized_pnl,last_equity_mtm
0.0003,0.0003,8,1048,30.248091603053435,60527.07572370542,82499.50918676682
0.0003,0.0003,10,1063,29.633113828786456,49778.53182696005,71328.53830177404
0.0003,0.0003,12,1062,29.75517890772128,50683.317825186015,72235.88560031503
0.0003,0.0005,8,1177,28.462192013593885,85562.20320122306,107631.96301074444
0.0003,0.0005,10,1194,28.14070351758794,90251.55069090711,112856.81256875997
0.0003,0.0005,12,1224,27.696078431372552,87170.61149417076,109468.28616767969
0.0003,0.001,8,1091,30.247479376718605,59822.57082041656,81711.6574592104
0.0003,0.001,10,1125,29.599999999999998,63745.08615576699,85117.10484292542
0.0003,0.001,12,1085,29.03225806451613,47482.40147506393,68853.68708669736
0.0005,0.0003,8,1122,30.65953654188948,73612.3620486848,95112.99996979766
0.0005,0.0003,10,910,29.78021978021978,31296.21992251783,51692.74590949143
0.0005,0.0003,12,910,29.78021978021978,31296.21992251783,51692.74590949143
0.0005,0.0005,8,1092,29.48717948717949,56140.50625407518,77181.39004250147
0.0005,0.0005,10,1094,28.519195612431442,56937.503865319144,77969.82673374108
0.0005,0.0005,12,1094,28.519195612431442,56937.503865319144,77969.82673374108
0.0005,0.001,8,1020,27.84313725490196,39123.49047384204,60129.0345898535
0.0005,0.001,10,1007,28.10327706057597,43458.89261916721,64589.050355394094
0.0005,0.001,12,1011,28.28882294757666,46379.47867862966,67631.94353157193
0.0008,0.0003,8,989,27.80586450960566,37952.678175756606,58975.7742276645
0.0008,0.0003,10,1003,28.51445663010967,38359.3004376815,59370.990903393555
0.0008,0.0003,12,1003,28.51445663010967,38359.3004376815,59370.990903393555
0.0008,0.0005,8,1092,30.128205128205128,57648.12644075234,78786.6191562018
0.0008,0.0005,10,1020,28.921568627450984,42513.50528006484,63653.464146914295
0.0008,0.0005,12,1020,28.921568627450984,42513.50528006484,63653.464146914295
0.0008,0.001,8,943,29.48038176033934,31137.858022878358,51518.59543280392
0.0008,0.001,10,1067,29.70946579194002,40732.80096329778,61716.23745034049
0.0008,0.001,12,1058,29.39508506616257,39055.18450485682,60037.25318629953
